# ---------------------------------------------------------------------------
# 
# This file contains the Human Interactome used in:
# 
# Uncovering Disease-Disease Relationships Through The Human Interactome
#
# by Joerg Menche, Amitabh Sharma, Maksim Kitsak, Susan Dina
#    Ghiassian, Marc Vidal, Joseph Loscalzo & Albert-Laszlo Barabasi
#
#
# FILE FORMAT: 3 tab-separated columns, 3rd column contains
# semicolon-separated sub-entries
#
# Each line in the table correponds to one interaction
# Columns 1 & 2 give the gene IDs of the two interacting proteins. 
# Column 3 gives the type of the interation, compare with SOM Section 1.1.1:
# (i)   regulatory
# (ii)  binary
# (iii) literature
# (iv)  metabolic
# (v)   complexes
# (vi)  kinase
# (vii) signaling
#
# ---------------------------------------------------------------------------
# gene_ID_1	 gene_ID_2	data_source(s)
55763	7204	binary;literature
4163	81876	literature
1432	2004	literature;signaling
1499	51762	literature
84365	983	kinase
7431	9212	kinase
706	9256	literature
145270	43	literature
9456	9456	literature
4802	6908	literature
2791	2793	literature
3178	4792	literature
6160	64960	literature
388387	54507	binary
5159	9368	binary;literature;signaling
117854	117854	literature
1933	1937	binary;literature
10114	355	literature;signaling
409	9774	literature
5245	6187	literature
4478	4478	literature
5584	624	kinase
220134	26258	binary;literature
1915	26608	literature
5733	80125	binary
51021	9801	complexes
6160	6207	complexes;literature
3191	7150	literature
23521	3007	complexes
6632	83443	complexes;literature
4223	8675	binary
54534	64976	complexes
11218	57835	literature
257202	51	metabolic
5479	7428	literature
6884	8148	complexes;literature;signaling
2902	5516	literature
5408	9388	metabolic
10783	2902	kinase
497661	55131	complexes
28957	51650	complexes
2923	3914	literature
51742	8819	complexes
254065	26043	literature
2175	26121	literature
409	9020	literature
28966	6457	binary;literature;signaling
55917	9146	binary
54954	7024	binary
661	84528	literature
5424	5557	complexes
1208	5406	literature
1608	5331	metabolic
261726	5537	literature
579	7091	complexes
4694	4710	complexes
222	84532	metabolic
26986	9533	literature
7490	9391	literature;signaling
1459	8665	literature
60490	705	binary
23248	9448	literature
2810	9729	binary;literature;signaling
4528	4790	literature
22826	23451	complexes;literature
293	3881	binary
285093	81704	binary
10254	26994	binary;literature;signaling
10772	7532	literature;signaling
203068	55207	literature;signaling
51412	6606	signaling
55157	7965	literature
22985	6426	complexes
7327	79102	literature
64375	64375	literature
131	224	metabolic
5693	5716	complexes
10492	6629	complexes
3183	4691	literature
1558	642	literature
22800	5074	binary;literature;signaling
54908	767	binary
2091	8241	literature
55352	8368	literature
2932	8517	literature;signaling
6883	6883	literature
5347	9701	literature
4086	4086	binary;literature
2908	7157	literature;signaling
53904	81488	binary;literature;signaling
5478	79800	binary
2793	654364	literature
10492	51362	complexes
1176	2647	complexes
5250	6136	literature
3312	409	literature
2130	2185	literature;signaling
25	6654	literature
23517	6434	complexes
1537	4696	metabolic
23450	8450	literature
23268	23268	literature
3315	5582	kinase
26043	8450	literature
79968	8450	literature
5496	9584	complexes
150094	7534	binary;literature
23392	5108	binary;literature
6865	6866	literature;signaling
5887	7431	literature
1545	2099	regulatory
26586	9212	kinase
6546	859	literature;signaling
4137	5568	kinase
23345	6134	literature
4292	641	complexes;literature
4172	472	kinase
29093	51318	complexes
27089	4694	metabolic
2099	5594	literature;signaling;kinase
2623	5469	literature;signaling
301	7419	literature
2040	5567	kinase
4435	7157	literature
10982	22919	binary
2091	4641	literature
5581	58	literature;signaling
7531	84952	literature
6464	6654	literature;signaling
150684	170622	binary;literature
24144	6801	binary
5599	7132	literature
26173	5430	complexes
22974	3551	literature
1974	6206	literature
125476	93973	complexes
192670	27327	literature
5411	6636	complexes
26519	29928	literature
3312	6632	complexes
25898	54507	binary
2959	6874	complexes
728239	9796	binary;literature
10140	9869	binary;literature;signaling
11252	7456	literature
10627	7428	literature
51639	6634	complexes;literature
10142	808	literature;signaling
4131	50488	literature
10963	3337	literature
375	55738	literature;signaling
627	627	literature
4691	72	complexes
157506	57665	metabolic
50628	509	literature
1917	3035	literature
5356	6625	complexes
497661	6154	complexes
10189	10521	complexes
6854	9475	literature
118460	51079	literature;signaling
4323	6382	literature;signaling
4809	9410	complexes
8834	89885	binary
11338	84991	complexes;literature
6716	7364	metabolic
5806	715	literature
22806	84619	binary
4916	5978	regulatory
6927	9075	regulatory
4628	65125	literature
170506	6165	literature
29950	894	literature
225689	225689	literature;kinase
1655	9416	complexes
6878	8467	complexes
51375	83878	binary
6142	83858	literature
3726	7051	regulatory
11244	732272	binary
2932	9627	literature;signaling;kinase
4850	7324	literature;signaling
3689	8875	literature
51124	5997	signaling
11047	5903	literature
100293516	2885	literature
4809	9589	complexes
1022	4331	complexes;literature;signaling
54948	64983	complexes
2885	998	signaling
10163	9051	literature;signaling
23350	4236	complexes
355	8837	literature
578	7157	literature;signaling
5105	8802	metabolic
27229	5987	binary;literature
132158	287015	binary
865	9139	literature;signaling
130540	81567	binary
2099	2932	kinase
4223	83538	binary
55722	6427	binary
3881	79843	binary
3007	4691	complexes
7534	8332	literature
11140	51535	signaling
27252	27252	literature
2906	5520	literature;signaling
5277	9091	complexes;literature
7277	9070	complexes;literature
6206	6229	complexes;literature
7405	9711	literature
23421	79019	complexes
10056	79876	literature
9568	9568	literature
3326	5597	literature
6152	6201	complexes;literature
5094	6132	literature
115265	51690	binary
4111	79745	binary
6613	7153	literature
3295	79876	literature
7046	7314	literature;signaling
10900	8907	binary;literature;signaling
55308	57409	binary;literature;signaling
10592	3105	literature
414301	60491	binary
29911	8907	binary
112609	4159	literature
163033	55644	signaling
1018	7024	kinase
4343	57819	complexes
1153	23517	complexes
11155	58529	literature
4697	8607	literature
1029	10856	literature
8924	9526	literature
132158	3866	binary
4093	56652	binary;literature;signaling
10131	51639	complexes;literature
5371	6135	literature;signaling
5702	7428	literature;signaling
2072	4736	literature
5928	8358	literature
1107	56992	binary;literature;signaling
5152	8270	binary
7138	84676	binary;literature
1741	324	literature
4174	9391	literature
1439	5579	literature;signaling
344	4023	literature
147687	84914	binary
207	80153	kinase
11214	8727	literature;signaling
10905	11253	metabolic
51747	6628	complexes
1543	3292	metabolic
1827	5567	literature
23405	2975	literature
5335	5921	literature
1789	55111	signaling
10884	85302	complexes
5929	6908	complexes
1545	7363	metabolic
10542	7704	binary;literature;signaling
3001	4691	literature;signaling
29979	4176	binary
602	6908	literature;signaling
4168	6837	signaling
2252	2263	literature;signaling
51631	72	complexes
2638	4036	literature;signaling
10992	220988	complexes
5451	6714	literature
22924	3725	literature
51283	596	complexes;literature
4000	4609	literature
6193	6205	complexes
56945	64979	complexes
22985	9128	complexes
55284	8726	signaling
367	841	literature;signaling
1655	55611	literature
100131997	83755	binary;literature
389362	84262	complexes
2175	6604	literature;signaling
4605	595	literature;signaling
55697	80778	binary
5894	598	literature
140890	6634	signaling
387	9138	literature
100131997	125115	binary
55692	65990	binary;literature
301	3654	signaling
230	5338	literature
28977	51258	complexes
1650	3703	complexes
1019	1457	kinase
6133	7846	complexes
10301	5682	binary;literature;signaling
23345	8886	literature
2113	672	literature
10128	6222	literature
23524	58509	complexes
163154	2885	binary
4733	8576	binary;kinase
4852	4889	literature;signaling
471	9051	literature
11214	7067	literature;signaling
51602	6170	complexes
274	54453	literature;signaling
1788	79813	metabolic
7203	83992	literature
7417	8662	literature
3315	5579	kinase
2176	3312	literature
2224	9453	metabolic
6925	81629	binary
10589	6598	complexes
22874	54477	literature
27258	6637	complexes
3500	84071	literature
1499	5494	literature;signaling
10436	9349	literature
10892	7314	literature
6667	896	regulatory
207	3170	kinase
26121	27339	complexes
23524	9410	complexes
50848	5787	literature;signaling
1017	6119	complexes
1660	3007	complexes
10363	220136	binary
27292	6132	literature
3480	55816	literature;signaling
6729	6729	literature
7415	9641	literature
3417	387082	literature;signaling
11117	158787	binary
54941	7321	binary;literature
6955	84447	literature
3192	4793	literature
3958	7917	signaling
3735	5111	literature
10097	578	literature
4628	5087	literature;signaling
23636	3836	literature
10025	1053	literature
2130	5359	binary;literature;signaling
255626	30836	literature
1387	2623	literature;signaling
10215	30812	literature;signaling
4292	5887	literature
24144	27339	complexes
1725	60491	binary;literature
716	716	literature
5156	6776	literature;signaling
23281	3219	binary
3198	85291	binary
2885	9744	binary;literature
51510	7644	literature;signaling
203068	6203	literature
11030	167153	binary
6667	7048	regulatory
6152	8451	literature
56949	9785	complexes
1024	1030	literature;signaling
54880	8904	literature;signaling
2113	3725	literature;signaling
5597	7272	signaling
3768	51678	literature
6430	6733	literature
3566	9655	literature
11136	27161	literature
3101	3795	metabolic
5539	5540	literature
6390	8803	metabolic
10523	6632	complexes
1080	8773	literature;signaling
6500	84832	binary
8856	8856	literature
26589	55052	complexes
10989	2058	literature
51663	8569	literature
6821	9167	metabolic
10240	64969	complexes
22983	6468	literature
24144	9584	complexes
388585	6774	literature
6169	6228	complexes;literature
4522	7298	metabolic
29127	4294	literature;signaling
7525	948	literature;signaling
6130	6133	complexes;literature
23636	54535	binary
382	54919	literature
84962	9564	literature
29911	92999	binary
1975	55705	literature
23433	8976	literature;signaling
216	284273	metabolic
160	55690	literature
292	6146	complexes
1113	11140	signaling
27330	57731	signaling
8343	8915	literature
5522	7203	literature
5341	5590	kinase
11331	4869	literature
3763	3765	literature;signaling
4086	4762	literature;signaling
1994	26986	literature
25885	9349	literature
3556	5879	literature;signaling
2224	91734	metabolic
4144	7189	literature
10713	5496	complexes
2120	2885	literature
124790	5300	binary
3065	4204	complexes;literature
7317	9978	literature
488	816	kinase
10534	10534	binary;literature
1176	84062	complexes
4627	54822	binary;literature;kinase
1973	2885	literature
56647	9349	binary;literature
5601	891	kinase
121504	8342	complexes
6935	79813	complexes
4771	6895	literature;signaling
3655	977	complexes;literature;signaling
144125	8777	literature
143684	83899	binary
4113	6205	literature
10362	6239	complexes
54860	7851	binary
5250	6421	regulatory
3065	5501	literature
10919	23269	complexes
1215	4312	literature;signaling
51503	84464	literature
166	2801	binary
4301	9379	literature;signaling
156	5602	kinase
3735	8451	literature
2885	3329	literature
51631	54819	binary;literature
240	27170	literature
4093	55577	binary;literature;signaling
1936	284004	binary;literature;signaling
4673	6143	complexes
3306	5694	literature
100529264	7428	literature
1432	1852	literature
1956	5795	binary;literature;signaling
10419	291	literature
10589	2960	complexes
10856	388697	literature
4690	5287	binary;literature
10847	8607	complexes;literature
23479	54550	binary
57154	80349	literature;signaling
116541	64963	complexes
11092	22929	binary;literature
6157	6191	complexes;literature
1051	860	literature;signaling
4711	7381	metabolic
207	2100	literature;signaling
3182	8626	literature;signaling
4716	55967	complexes
4704	4709	complexes
1326	5608	kinase
6164	6181	complexes
342666	83637	binary
57461	6629	complexes
79165	9659	binary
1786	53615	literature
6218	9349	complexes
11136	1975	literature
1660	23405	literature
340706	7186	binary
25962	9939	complexes
4087	805	literature
6143	8487	literature
253980	5425	literature;signaling
3753	3757	literature;signaling
3667	857	literature;signaling
5970	7052	literature
5515	790	literature;signaling
339834	5565	binary
25788	84832	binary
11060	1605	literature;signaling
2023	7534	literature;signaling
1462	3676	literature;signaling
3021	5928	literature
2786	2793	literature
111	5136	metabolic
7185	91392	binary
1915	55299	complexes
23450	6634	complexes;literature
1665	509	literature
3608	5499	complexes
10291	3187	complexes
10133	5468	literature
10392	835	literature;signaling
1387	6778	literature;signaling
84735	8659	metabolic
1947	7074	literature;signaling
3918	649	literature
2065	2886	binary;literature;signaling
4087	5599	literature;signaling
3306	5706	literature
10765	2957	literature
140691	284086	binary
117178	4733	binary
8896	9092	complexes
1665	50628	literature
10419	203068	literature
23345	30968	literature
1660	25962	complexes
5111	5984	complexes;literature;signaling
1021	5127	kinase
23204	7019	binary
284695	55379	literature
10474	8669	binary;literature;signaling
2056	7025	regulatory
57473	9757	binary;literature;signaling
23549	23569	literature
2209	6464	literature
169981	409	literature
1789	23468	literature;signaling
3559	6776	regulatory
4215	4637	literature
10594	9589	complexes
23345	293	literature
1471	1508	literature;signaling
1080	22853	kinase
11335	29127	complexes
3762	3763	literature
10425	5764	binary;literature;signaling
25937	55749	literature
4539	55967	complexes
3028	351	binary;literature;signaling
11344	57180	literature
4736	9221	complexes
11140	8517	literature;signaling
22938	4609	literature
51729	5295	literature;signaling
7189	9761	literature
1399	9743	literature;signaling
2308	367	literature;signaling
5429	63922	complexes
1915	6222	complexes;literature
55290	60682	literature
50628	5430	complexes
4998	6502	literature;signaling
10569	29105	complexes
5595	8358	kinase
84342	91949	complexes;literature
125115	55110	binary
54793	91694	binary
29127	7277	literature;signaling
10651	25813	literature
23462	7805	binary;literature;signaling
1616	2113	binary;literature;signaling
2182	6785	metabolic
7040	9392	literature
5713	7431	literature;signaling
152006	3267	binary
10946	11033	signaling
22981	6924	binary;literature;signaling
4311	8607	literature
6311	88	binary;literature;signaling
55131	6189	complexes
2151	2534	binary;literature
4929	5915	literature
24148	26986	complexes
6636	9775	complexes
55632	6209	binary
10289	6223	literature
2961	688	literature;signaling
27183	5119	literature
1460	221545	signaling
11030	201181	binary
64320	85409	literature
11186	6789	binary;literature;signaling
10152	51334	binary
2067	5893	complexes;literature
5092	53353	literature
23090	4086	literature;signaling
23186	8535	complexes
4331	7248	binary;literature
2332	6203	literature
113878	113878	binary;literature
1400	8445	kinase
1460	3800	literature
1943	2043	literature
51393	7442	literature
2885	613	literature;signaling
7290	8520	complexes
6128	6188	complexes;literature
203068	3842	literature
1739	9229	literature;signaling
3798	7159	binary;literature;signaling
1017	84859	kinase
4089	51295	literature;signaling
25959	2801	binary
84873	9218	binary
25953	54793	binary
51729	8896	complexes
6636	9879	complexes
160622	2912	literature;signaling
126961	3906	literature
4758	55907	metabolic
158078	5678	binary
10514	6181	complexes
6307	6310	binary;literature
10236	22938	complexes
501	8639	metabolic
2785	2790	literature
10486	5723	literature
51690	6426	complexes
4089	6599	complexes
1956	55715	binary;literature
3881	85359	binary
4792	5092	literature
5250	55379	literature
4145	948	literature;signaling
26292	92736	literature
10521	23517	complexes
3881	79622	binary
51371	51371	binary;literature
1994	3609	literature
51001	5605	literature
2268	6004	kinase
5682	5691	complexes;literature
1499	3965	literature
10594	4670	complexes
57684	57684	binary
3702	660	literature;signaling;kinase
8819	9739	complexes
3633	5330	metabolic
2885	5500	literature
5595	6640	kinase
129807	5476	metabolic
1460	1786	signaling
54978	9778	binary;literature
4803	9846	literature
10213	4223	binary
10985	1938	literature
4893	5290	literature;signaling
2632	5226	binary;literature
51593	7536	complexes
3551	9919	literature
220388	659	literature
54550	7276	binary
5580	5587	kinase
23048	5148	literature;signaling
26292	79711	literature
4691	9733	literature
2885	723790	literature
23524	4236	complexes
23011	27342	literature
2962	5437	complexes
57562	7534	binary;literature;signaling
2074	5430	literature;signaling
10586	125115	binary
1613	5074	literature;signaling
51765	6801	literature
142	817	complexes
1031	60491	binary
2810	572	binary;literature;signaling
22866	9228	literature
2318	3751	literature;signaling
3735	5048	binary;literature
23560	51202	literature
51562	64112	binary
23649	728071	binary
1665	4809	complexes
7341	9753	literature
10001	5914	literature;signaling
27255	7881	literature
23433	9322	literature;signaling
475	538	literature
6625	79002	complexes
6748	8241	literature
4520	7917	signaling
3550	4686	complexes
1654	51362	complexes
10855	6670	regulatory
10128	60	literature
2290	3280	literature;signaling
4215	5202	literature
1938	8342	complexes
79892	9817	literature
29922	388701	binary
5330	5330	literature
79751	8764	literature
27034	84129	metabolic
6128	6194	complexes;literature
8354	8520	literature
2975	6184	literature
573	5925	literature;signaling
151	84687	literature
7186	790	literature
23001	56658	binary
27185	7204	binary;literature
284695	8886	literature
213	5004	literature;signaling
2549	9402	literature;signaling
1991	2150	literature;signaling
5936	8900	literature;signaling
219	5238	metabolic
1147	4794	literature
3553	6688	regulatory
4793	7311	literature
10241	55138	binary
126129	55326	metabolic
23281	9586	binary
122704	51081	complexes
1759	5303	binary;literature;signaling
4232	9638	signaling
3667	8660	literature
7314	7337	binary
3315	7051	literature
51082	64425	literature
81887	8848	literature
10856	6124	literature
373509	5825	literature
24144	9113	binary
11342	51619	literature
114971	5987	binary
2885	51225	binary
10454	64101	literature
4690	6261	binary;literature
30011	914	literature;signaling
6141	6227	complexes
25851	9140	literature
11224	6165	complexes;literature
6854	6854	literature
2624	5594	literature;signaling
2275	343263	binary
2800	7786	literature
5042	6129	literature
1956	3315	literature
51362	55660	complexes
3551	55294	literature
3693	8754	complexes;literature
8633	9423	literature
10235	79607	binary;literature;signaling
22895	65125	literature
11091	9219	complexes
9440	9968	complexes;literature
6331	6645	literature;signaling
10019	2065	binary;literature
22950	3611	binary;literature
7157	7353	signaling
5241	6777	literature
5987	84309	binary
64960	9349	literature
1915	3164	literature
1589	7182	regulatory
5042	728937	literature
10985	478	literature
8470	8470	binary
10212	28996	literature;signaling
10642	81887	literature
169966	84970	binary
29796	4538	metabolic
10992	23020	complexes
9349	9513	literature
23376	7321	literature
6154	6209	complexes
29767	7170	literature
156	6620	literature
56944	9638	binary;literature
6487	8703	metabolic
2201	4147	literature;signaling
2885	9112	literature;signaling
4728	7386	metabolic
130162	4005	binary
331	7314	binary;literature;signaling
3685	5829	complexes;literature
2066	56899	binary;literature
10642	50628	literature
2208	3689	literature;signaling
64963	64981	complexes
51545	54971	binary
5787	81	complexes
1503	54984	literature
6235	8412	literature
2669	2801	binary
7532	8451	literature
23281	3693	binary
11103	51639	literature
3006	5603	literature
324	6712	literature
8535	9862	literature
4790	7295	literature;signaling
5087	5089	binary;literature;signaling
22907	293	literature
4638	5058	literature;signaling;kinase
4103	7709	binary;literature
3191	56950	literature
11051	55696	complexes
286499	80321	binary
6626	84991	complexes
10066	7534	literature
1213	4790	literature
23541	5294	literature
10642	6209	complexes
126	223	metabolic
10073	11218	literature
51497	6829	literature
63893	9503	literature
23398	6627	complexes
1270	3646	literature
1738	8801	metabolic
4686	5496	complexes
4089	5058	literature;signaling
122953	7407	literature
6208	9641	literature
11103	1915	literature
23092	998	literature
2569	4131	literature
10749	7534	literature;signaling
658	9459	literature;signaling
2176	6141	literature
51764	54331	literature
10313	9448	literature
64777	7324	literature
333926	7329	literature
2801	58155	binary
26191	7535	binary;literature
6191	9513	literature
348487	7447	binary;literature;signaling
246175	284312	literature
1457	5594	kinase
25942	51132	literature;signaling
124	8639	metabolic
10598	3320	binary;literature;signaling
4193	5923	literature
6206	7416	literature
1052	1080	regulatory
51362	51755	complexes
57159	705	binary
6927	8850	literature;signaling
2081	7316	literature
1647	983	literature;signaling
4734	7322	literature;signaling
4540	6721	literature
3880	9533	binary
1638	1638	literature
7915	8803	metabolic
1407	8914	literature;signaling
113675	60491	binary
27042	80230	binary
6772	9659	literature
1101	3688	complexes;literature
55644	84060	signaling
5887	7314	literature;signaling
28986	29117	binary;literature
80321	84707	binary
26227	5597	signaling
1917	9040	literature
55603	9604	binary;literature;signaling
1108	6597	complexes;literature;signaling
3691	667	literature;signaling
353132	386680	binary
10480	3932	literature
4747	9099	binary
6456	867	literature;signaling
527	5684	binary
10574	3476	literature
10951	56946	literature;signaling
7132	8772	literature
2908	3932	literature
5047	7324	binary;literature;signaling
11103	23521	literature
4134	4690	binary;literature
26505	386681	binary
2597	3174	signaling
5336	54206	signaling
1613	468	literature;signaling
11188	367	literature;signaling
2638	8029	literature;signaling
6129	7417	literature
6222	7431	literature
302	7416	literature
10946	9343	complexes
2332	5562	literature
5013	7306	regulatory
342371	84632	signaling
1822	23145	literature;signaling
2091	4904	complexes;literature
292	6155	complexes;literature
120	5582	kinase
23543	473	binary;literature;signaling
4217	5536	literature;signaling
1890	1890	binary;literature
23350	55696	complexes
64219	84164	binary;literature;signaling
27040	5335	complexes;literature;signaling
57418	83858	literature
6714	7525	literature
10289	6888	literature
4236	57187	complexes
2100	29893	literature;signaling
11143	7862	complexes
146664	4188	binary
1795	6714	binary;literature
5582	5587	kinase
26993	4609	literature
6191	6235	complexes
1945	285220	literature;signaling
6117	641	complexes;literature;binary
29117	55749	signaling
54460	65993	complexes
1991	1991	literature
23281	9759	binary
468	57761	binary;literature;signaling
10971	56907	literature
1642	55626	literature
10492	51649	literature
23521	9782	literature
2885	8365	literature
4809	6217	complexes
5599	8772	literature
64223	79109	literature
55330	7965	signaling
10569	10915	complexes
5700	6314	literature;signaling
386682	6687	binary
5147	5158	literature
2023	3187	literature
85403	86	literature
29761	4646	literature
25942	64375	literature;signaling
1951	4690	binary;literature
1436	6654	literature;signaling
213	60684	literature
1326	5211	literature
10588	10797	metabolic
2534	9757	binary;literature
4089	4538	signaling
2113	5594	literature;signaling;kinase
4193	6233	literature
11043	64782	binary
4869	5590	kinase
284001	4236	binary
3065	3066	complexes;literature;signaling
4736	6897	literature
10513	8131	binary
34	36	metabolic
11097	324	literature
26986	51433	literature
699	9183	literature
2908	3175	literature;signaling
5594	5770	literature;signaling
123	51099	literature
11156	26128	literature
4085	55743	literature
3927	9513	binary
196528	8900	literature;signaling
25932	7534	literature
4216	9618	literature;signaling
1386	2033	literature
6929	7329	literature;signaling
1937	3735	binary;literature;signaling
3190	409	literature
164592	80817	binary
1051	1649	literature;signaling
1822	8440	binary;literature;signaling
166	55072	binary
2695	54507	binary
409	5021	literature;signaling
23107	6158	literature
10436	8554	literature
5469	5469	literature
727800	9802	binary;literature
23410	2896	literature
5931	9112	complexes;literature
324	6096	literature
1760	5348	literature
60	80314	literature
10890	79083	literature
4793	6128	literature
7541	83851	binary
382	6396	literature
10110	2932	kinase
1024	2071	complexes
3621	5931	complexes;literature;signaling
3324	3324	literature
84458	8535	complexes
6804	8673	literature
10245	10431	complexes;literature
3280	5584	kinase
3846	85280	binary
28996	57659	kinase
4831	57142	literature
403	7846	literature;signaling
10399	6223	literature
1460	6749	complexes
4539	7385	metabolic
6185	654364	literature
11218	3183	literature
2151	4690	binary;literature
10419	6602	complexes
1059	6606	signaling
219927	54148	complexes
10239	26985	complexes;literature
5245	9577	literature
10284	1674	literature
2274	3679	binary;literature;signaling
7428	8343	literature
3375	5126	literature;signaling
1137	29979	literature;signaling
57085	7019	binary
10846	10885	binary;literature
4082	5588	kinase
3191	6191	literature
114790	6794	literature
1915	54931	literature
1730	998	literature
7286	84661	binary
10594	3192	complexes
121504	132660	literature
5553	84060	binary;literature;signaling
1956	634	literature;signaling
3692	873	literature
2632	8908	metabolic
347733	79682	signaling
1655	8559	complexes
11137	23521	complexes
50628	6201	literature
64949	7818	complexes
26958	51272	literature
10847	6601	complexes
28973	740	complexes
23607	6714	literature;signaling
6125	6129	complexes;literature
26986	6427	complexes
23450	6138	literature
55437	6885	literature
84557	9667	literature
3312	661	literature
8451	8451	literature
154007	26824	literature
497661	6128	complexes
6125	6173	complexes
1072	5597	signaling
84292	9092	complexes
1017	3184	kinase
6772	7133	literature;signaling
23524	3181	complexes
672	8714	literature
26472	3611	kinase
1660	388697	literature
2885	445815	binary;literature
51639	51639	literature
3550	8563	complexes
1854	5465	literature;signaling
51639	55037	literature
1659	3187	complexes
10291	94104	complexes
1660	51116	literature
4809	56259	complexes
1915	22907	literature
23265	79036	binary;literature;signaling
3925	5595	literature;signaling;kinase
5062	5683	literature
27097	6314	complexes
6303	8525	binary;literature;signaling
57561	7128	binary
149069	23281	binary
10728	2065	literature;signaling
22837	79801	complexes
6461	6714	literature;signaling
5524	900	literature
3178	3842	literature;signaling
3482	5328	literature;signaling
284403	5601	binary;literature;signaling
2896	57761	literature
7337	9522	binary;literature;signaling
60561	79027	binary
2316	9133	binary;literature
1459	7035	kinase
3480	3643	literature;signaling
55696	9092	complexes
55660	7536	complexes;literature;signaling
25945	56288	literature;signaling
7328	9781	binary;literature
388698	6159	literature
27429	351	literature;signaling
6138	9775	literature
10539	8545	binary
10291	22913	complexes
5566	5705	kinase
256281	54819	binary
10971	5218	binary;literature;signaling
355	7329	literature;signaling
1176	23557	complexes
23451	51741	literature
1917	6191	literature
10262	2280	binary
10952	338	literature;signaling
2516	30827	literature
117178	122786	binary
3192	55094	complexes
84661	9757	complexes
6749	8883	literature
8651	8835	literature
2130	25941	binary;literature
4215	7314	literature
11186	493	literature;signaling
3303	9093	literature;signaling
1432	2872	literature;signaling
2483	5356	complexes
472	5883	literature;signaling;kinase
3219	79797	literature
10146	3932	literature;kinase
59349	6310	binary;literature;signaling
26227	2885	literature
3018	9557	literature
23410	8924	literature
4176	5432	binary
1108	6886	literature
497661	6202	complexes
1029	60	literature
1915	25873	complexes
56852	7251	binary;literature
2494	8204	signaling
275	4522	metabolic
2781	8601	literature;signaling
63979	9270	binary
51081	84311	complexes
23118	92609	literature
4851	5664	literature
6128	8452	literature
3178	55681	complexes
3725	4087	literature;signaling
7431	823	literature;signaling
10468	83729	literature
25937	7532	literature
1650	84319	literature
4809	6158	complexes
5167	55907	metabolic
112609	112609	literature
2134	2885	binary;literature
2549	5829	literature
1908	1910	literature;signaling
2810	7532	literature;signaling
2023	5105	metabolic
131	4129	metabolic
2056	3172	regulatory
112869	6925	binary
4778	5195	literature;signaling
